class	condition	object	pos	value
C	A	58	11.1111111111	5.33628338786
B	A	28	11.1111111111	0.305626216981
B	A	25	11.1111111111	0.29985771688
A	A	8	11.1111111111	0.594946907682
B	B	29	11.1111111111	0.0
B	B	16	11.1111111111	0.0
C	B	58	11.1111111111	0.0801705436428
B	B	28	11.1111111111	1.19669201709
B	B	25	11.1111111111	1.5524597052
A	B	8	11.1111111111	0.413910314229
B	C	29	11.1111111111	0.0
B	C	16	11.1111111111	0.0
C	C	58	11.1111111111	0.0
B	C	28	11.1111111111	1.09412186605
B	C	25	11.1111111111	2.47028409475
A	C	8	11.1111111111	0.961932206045
C	A	50	11.1111111111	4.17596141527
B	A	39	11.1111111111	0.109545105575
B	A	20	11.1111111111	0.968898803672
C	A	56	11.1111111111	6.53327017289
A	A	13	11.1111111111	0.0
A	A	3	11.1111111111	0.0997974508598
A	A	6	11.1111111111	0.880418313003
C	B	50	11.1111111111	0.655784114355
B	B	39	11.1111111111	3.45854448195
B	B	20	11.1111111111	1.13791791117
C	B	56	11.1111111111	5.75014637145
A	B	13	11.1111111111	0.935019894507
A	B	3	11.1111111111	0.694218740977
A	B	6	11.1111111111	2.13302553823
C	C	50	11.1111111111	0.142444807572
B	C	39	11.1111111111	1.44865096804
B	C	20	11.1111111111	1.42185882043
C	C	56	11.1111111111	3.06313632003
A	C	13	11.1111111111	2.18068224694
A	C	3	11.1111111111	1.00196721556
A	C	6	11.1111111111	2.13302553823
C	A	54	22.2222222222	5.45551575302
B	A	17	22.2222222222	1.97770561603
C	A	46	22.2222222222	2.79059210673
C	A	59	22.2222222222	6.53327017289
B	A	19	22.2222222222	0.0
C	B	54	22.2222222222	3.70653563594
B	B	17	22.2222222222	3.67400193992
C	B	46	22.2222222222	2.79638802061
C	B	59	22.2222222222	5.75014637145
B	B	19	22.2222222222	0.0
C	C	54	22.2222222222	1.87567195517
B	C	17	22.2222222222	3.06313632003
C	C	46	22.2222222222	2.29100820563
C	C	59	22.2222222222	0.0
B	C	19	22.2222222222	0.0
A	A	5	22.2222222222	0.23266075679
B	A	22	22.2222222222	0.189428613222
C	A	43	22.2222222222	0.808584398596
A	B	5	22.2222222222	0.712718145729
B	B	22	22.2222222222	1.4883093357
C	B	43	22.2222222222	4.72154792698
A	C	5	22.2222222222	1.7821753663
B	C	22	22.2222222222	0.748121988037
C	C	43	22.2222222222	1.87262312391
B	A	33	22.2222222222	0.92017970971
B	A	18	22.2222222222	1.12199079732
A	A	7	22.2222222222	1.67672009791
A	A	12	22.2222222222	0.428185279825
C	A	47	22.2222222222	5.09478825114
B	B	33	22.2222222222	0.923056358082
B	B	18	22.2222222222	0.396972694278
A	B	7	22.2222222222	2.77497382053
A	B	12	22.2222222222	0.670431574799
C	B	47	22.2222222222	4.93588278203
B	C	33	22.2222222222	1.13886491648
B	C	18	22.2222222222	0.396972694278
A	C	7	22.2222222222	0.852272963089
A	C	12	22.2222222222	1.56678642157
C	C	47	22.2222222222	1.2730186934
A	A	2	22.2222222222	0.301655536537
A	A	9	22.2222222222	0.0
A	A	11	22.2222222222	0.0
B	A	34	22.2222222222	0.0
B	A	35	22.2222222222	0.0
A	A	10	22.2222222222	0.0
B	A	30	22.2222222222	0.0
A	B	2	22.2222222222	0.431716016559
A	B	9	22.2222222222	0.0
A	B	11	22.2222222222	0.0
B	B	34	22.2222222222	0.0
B	B	35	22.2222222222	0.0
A	B	10	22.2222222222	0.0
B	B	30	22.2222222222	0.0
A	C	2	22.2222222222	0.625914764867
A	C	9	22.2222222222	0.0
